custom_fields[pid],category,subcategory,group
6ES7518-4FP00-0AB0,PLC,PLC Hardware,CPU
6ES7518-4AP00-0AB0,PLC,PLC Hardware,CPU
6ES7811-0CA01-0YX2,PLC,Software,PLC Programming
6ES7327-1BH00-0AB0,PLC,PLC Hardware,I/O Module
6DD1681-0DH1,PLC,PLC Hardware,Communication Module
6DD1681-0AJ1,PLC,PLC Hardware,Communication Module
6ES7138-6CG00-0BA0,PLC,Distributed I/O,Function Module
6DD1681-0AG2,PLC,PLC Hardware,Communication Module
6ES7350-1AH03-0AE0,PLC,PLC Hardware,Function Module
6DD1681-0AF4,PLC,PLC Hardware,Communication Module
6ES7338-4BC01-0AB0,PLC,PLC Hardware,Function Module
6ES7317-7UL10-0AB0,PLC,PLC Hardware,CPU
6ES7315-7TJ10-0AB0,PLC,PLC Hardware,CPU
6DD1681-0AE2,PLC,PLC Hardware,Communication Module
6ES7317-7TK10-0AB0,PLC,PLC Hardware,CPU
6ES7551-1AB00-0AB0,PLC,PLC Hardware,I/O Module
6ES7148-6JA00-0AB0,PLC,Distributed I/O,Communication Module
6DD1660-0BG0,PLC,PLC Hardware,Communication Module
6ES7151-1CA00-0AB0,PLC,Distributed I/O,Communication Module
6ES7151-3BB23-0AB0,PLC,Distributed I/O,Communication Module
6DD1660-0BF0,PLC,PLC Hardware,Communication Module
6DD1684-0GD0,PLC,Cable & Wire,Industrial Cable
6ES7195-7HD10-0XA0,PLC,PLC Hardware,PLC Accessories
6ES7322-5GH00-0AB0,PLC,PLC Hardware,I/O Module
6DD1684-0GC0,PLC,Cable & Wire,Industrial Cable
6ES7144-6KD00-0AB0,PLC,Distributed I/O,I/O Module
6DD1640-0AH0,PLC,PLC Hardware,I/O Module
6ES7157-1AA00-0AB0,PLC,Distributed I/O,Communication Module
6ES7492-2DX00-0AA0,PLC,Marking & Labeling,Equipment Marking
6ES7145-6HD00-0AB0,PLC,Distributed I/O,I/O Module
6ES7174-0AA10-0AA0,PLC,PLC Hardware,Function Module
6ES7492-2CX00-0AA0,PLC,Marking & Labeling,Equipment Marking
6ES7807-4BA03-0YA1,PLC,Software,PLC Programming
6ES7492-2BX00-0AA0,PLC,Marking & Labeling,Equipment Marking
6ES7807-4BA03-0YA0,PLC,Software,PLC Programming
6ES7492-2AX00-0AA0,PLC,Marking & Labeling,Equipment Marking
6ES7960-1AA06-0XA0,PLC,PLC Hardware,PLC Accessories
6ES7401-1DA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7960-1AB06-0XA0,PLC,PLC Hardware,PLC Accessories
6ES7322-5HF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7153-4AA01-0XB0,PLC,Distributed I/O,Communication Module
6DD1681-0GK0,PLC,PLC Hardware,Communication Module
6ES7355-2SH00-0AE0,PLC,PLC Hardware,I/O Module
6ES7355-2CH00-0AE0,PLC,PLC Hardware,I/O Module
