custom_fields[pid],category,subcategory,group
6ES7313-5BG04-0AB0,PLC,PLC Hardware,CPU
6ES7314-6EH04-0AB0,PLC,PLC Hardware,CPU
6ES7352-5AH11-0AE0,PLC,PLC Hardware,Function Module
6ES7352-5AH01-0AE0,PLC,PLC Hardware,Function Module
6ES7351-1AH02-0AE0,PLC,PLC Hardware,Function Module
6ES7318-3EL01-0AB0,PLC,PLC Hardware,CPU
6ES7318-3FL01-0AB0,PLC,PLC Hardware,CPU
6ES7317-2FK14-0AB0,PLC,PLC Hardware,CPU
6ES7315-2EH14-0AB0,PLC,PLC Hardware,CPU
6ES7317-2EK14-0AB0,PLC,PLC Hardware,CPU
6ES7315-2FJ14-0AB0,PLC,PLC Hardware,CPU
6ES7326-2BF41-0AB0,PLC,PLC Hardware,I/O Module
6ES7326-1BK02-0AB0,PLC,PLC Hardware,I/O Module
6ES7315-6FF04-0AB0,PLC,PLC Hardware,CPU
6ES7314-1AG14-0AB0,PLC,PLC Hardware,CPU
6ES7312-1AE14-0AB0,PLC,PLC Hardware,CPU
6ES7315-2AH14-0AB0,PLC,PLC Hardware,CPU
6ES7331-7PE10-0AB0,PLC,PLC Hardware,I/O Module
6ES7341-1BH02-0AE0,PLC,PLC hardware,Communication Module
6ES7341-1AH02-0AE0,PLC,PLC hardware,Communication Module
6ES7341-1CH02-0AE0,PLC,PLC hardware,Communication Module
6ES7350-2AH01-0AE0,PLC,PLC Hardware,Function Module
6ES7352-1AH02-0AE0,PLC,PLC Hardware,Function Module
6ES7403-1JA11-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7400-1TA11-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7403-1TA11-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7405-0RA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7405-0KR02-0AA0,PLC,PLC Hardware,Power Supply
6ES7407-0RA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7407-0KR02-0AA0,PLC,PLC Hardware,Power Supply
6ES7407-0KA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7407-0DA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7405-0DA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7331-7PF11-0AB0,PLC,PLC Hardware,I/O Module
6ES7340-1CH02-0AE0,PLC,PLC hardware,Communication Module
6ES7340-1BH02-0AE0,PLC,PLC hardware,Communication Module
6ES7340-1AH02-0AE0,PLC,PLC hardware,Communication Module
6ES7400-2JA10-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7400-1JA11-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7405-0KA02-0AA0,PLC,PLC Hardware,Power Supply
6ES7327-1BH00-0AB0,PLC,PLC Hardware,I/O Module
6ES7350-1AH03-0AE0,PLC,PLC Hardware,Function Module
6ES7338-4BC01-0AB0,PLC,PLC Hardware,Function Module
6ES7195-7HD10-0XA0,PLC,PLC Hardware,PLC Accessories
6ES7322-5GH00-0AB0,PLC,PLC Hardware,I/O Module
6ES7492-2DX00-0AA0,PLC,Marking & Labeling,Equipment Marking
6ES7492-2CX00-0AA0,PLC,Marking & Labeling,Equipment Marking
6ES7492-2BX00-0AA0,PLC,Marking & Labeling,Equipment Marking
6ES7492-2AX00-0AA0,PLC,Marking & Labeling,Equipment Marking
6ES7401-1DA01-0AA0,PLC,PLC Hardware,PLC Accessories
6ES7322-5HF00-0AB0,PLC,PLC Hardware,I/O Module
6ES7355-2SH00-0AE0,PLC,PLC Hardware,I/O Module
6ES7355-2CH00-0AE0,PLC,PLC Hardware,I/O Module
